      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3   ANCHTEN1   ANCHTEN2   ANCHTEN3
       (s)        (N)        (N)        (N)        (N)        (N)        (N)
    0.0000 0.1129E+07 0.1129E+07 0.1129E+07 0.9191E+06 0.9191E+06 0.9191E+06
    0.0100 0.1130E+07 0.1131E+07 0.1130E+07 0.9176E+06 0.9176E+06 0.9176E+06
    0.0200 0.1132E+07 0.1132E+07 0.1132E+07 0.9162E+06 0.9162E+06 0.9162E+06
    0.0300 0.1133E+07 0.1134E+07 0.1133E+07 0.9149E+06 0.9149E+06 0.9149E+06
    0.0400 0.1133E+07 0.1136E+07 0.1133E+07 0.9136E+06 0.9136E+06 0.9136E+06
    0.0500 0.1134E+07 0.1137E+07 0.1134E+07 0.9124E+06 0.9124E+06 0.9124E+06
    0.0600 0.1135E+07 0.1139E+07 0.1135E+07 0.9113E+06 0.9113E+06 0.9113E+06
    0.0700 0.1136E+07 0.1140E+07 0.1136E+07 0.9104E+06 0.9104E+06 0.9104E+06
    0.0800 0.1136E+07 0.1141E+07 0.1136E+07 0.9095E+06 0.9095E+06 0.9095E+06
    0.0900 0.1137E+07 0.1142E+07 0.1137E+07 0.9087E+06 0.9087E+06 0.9087E+06
    0.1000 0.1137E+07 0.1143E+07 0.1137E+07 0.9080E+06 0.9080E+06 0.9080E+06
    0.1100 0.1137E+07 0.1144E+07 0.1137E+07 0.9075E+06 0.9075E+06 0.9075E+06
    0.1200 0.1137E+07 0.1145E+07 0.1137E+07 0.9071E+06 0.9071E+06 0.9071E+06
    0.1300 0.1137E+07 0.1145E+07 0.1137E+07 0.9069E+06 0.9069E+06 0.9069E+06
    0.1400 0.1136E+07 0.1146E+07 0.1136E+07 0.9068E+06 0.9068E+06 0.9068E+06
    0.1500 0.1136E+07 0.1146E+07 0.1136E+07 0.9068E+06 0.9068E+06 0.9068E+06
    0.1600 0.1135E+07 0.1146E+07 0.1135E+07 0.9070E+06 0.9070E+06 0.9070E+06
    0.1700 0.1135E+07 0.1146E+07 0.1135E+07 0.9074E+06 0.9074E+06 0.9074E+06
    0.1800 0.1134E+07 0.1146E+07 0.1134E+07 0.9078E+06 0.9078E+06 0.9078E+06
    0.1900 0.1133E+07 0.1145E+07 0.1133E+07 0.9084E+06 0.9084E+06 0.9084E+06
    0.2000 0.1132E+07 0.1145E+07 0.1132E+07 0.9092E+06 0.9092E+06 0.9092E+06
    0.2100 0.1131E+07 0.1144E+07 0.1131E+07 0.9100E+06 0.9100E+06 0.9100E+06
    0.2200 0.1129E+07 0.1144E+07 0.1129E+07 0.9110E+06 0.9110E+06 0.9110E+06
    0.2300 0.1128E+07 0.1143E+07 0.1128E+07 0.9121E+06 0.9121E+06 0.9121E+06
    0.2400 0.1127E+07 0.1142E+07 0.1126E+07 0.9133E+06 0.9133E+06 0.9133E+06
    0.2500 0.1125E+07 0.1141E+07 0.1125E+07 0.9146E+06 0.9146E+06 0.9146E+06
    0.2600 0.1123E+07 0.1140E+07 0.1123E+07 0.9159E+06 0.9159E+06 0.9159E+06
    0.2700 0.1122E+07 0.1139E+07 0.1122E+07 0.9173E+06 0.9173E+06 0.9173E+06
    0.2800 0.1120E+07 0.1138E+07 0.1120E+07 0.9188E+06 0.9188E+06 0.9188E+06
    0.2900 0.1118E+07 0.1136E+07 0.1118E+07 0.9202E+06 0.9203E+06 0.9202E+06
    0.3000 0.1116E+07 0.1135E+07 0.1116E+07 0.9217E+06 0.9218E+06 0.9217E+06
    0.3100 0.1115E+07 0.1134E+07 0.1114E+07 0.9232E+06 0.9234E+06 0.9232E+06
    0.3200 0.1113E+07 0.1133E+07 0.1113E+07 0.9247E+06 0.9250E+06 0.9247E+06
    0.3300 0.1111E+07 0.1131E+07 0.1111E+07 0.9261E+06 0.9266E+06 0.9261E+06
    0.3400 0.1109E+07 0.1130E+07 0.1109E+07 0.9273E+06 0.9282E+06 0.9273E+06
    0.3500 0.1107E+07 0.1129E+07 0.1107E+07 0.9285E+06 0.9300E+06 0.9285E+06
    0.3600 0.1106E+07 0.1127E+07 0.1105E+07 0.9295E+06 0.9317E+06 0.9295E+06
    0.3700 0.1104E+07 0.1126E+07 0.1104E+07 0.9303E+06 0.9335E+06 0.9303E+06
    0.3800 0.1102E+07 0.1125E+07 0.1102E+07 0.9309E+06 0.9354E+06 0.9309E+06
    0.3900 0.1101E+07 0.1124E+07 0.1101E+07 0.9314E+06 0.9372E+06 0.9314E+06
    0.4000 0.1099E+07 0.1123E+07 0.1099E+07 0.9317E+06 0.9390E+06 0.9317E+06
    0.4100 0.1098E+07 0.1122E+07 0.1098E+07 0.9319E+06 0.9407E+06 0.9318E+06
    0.4200 0.1097E+07 0.1121E+07 0.1097E+07 0.9319E+06 0.9422E+06 0.9319E+06
    0.4300 0.1096E+07 0.1120E+07 0.1096E+07 0.9319E+06 0.9436E+06 0.9319E+06
    0.4400 0.1095E+07 0.1120E+07 0.1095E+07 0.9318E+06 0.9448E+06 0.9318E+06
    0.4500 0.1094E+07 0.1119E+07 0.1094E+07 0.9316E+06 0.9458E+06 0.9315E+06
    0.4600 0.1093E+07 0.1119E+07 0.1093E+07 0.9313E+06 0.9467E+06 0.9312E+06
    0.4700 0.1093E+07 0.1118E+07 0.1093E+07 0.9308E+06 0.9475E+06 0.9307E+06
    0.4800 0.1092E+07 0.1118E+07 0.1092E+07 0.9302E+06 0.9481E+06 0.9301E+06
    0.4900 0.1092E+07 0.1118E+07 0.1092E+07 0.9295E+06 0.9486E+06 0.9294E+06
    0.5000 0.1092E+07 0.1119E+07 0.1092E+07 0.9286E+06 0.9489E+06 0.9285E+06
    0.5100 0.1092E+07 0.1119E+07 0.1092E+07 0.9276E+06 0.9491E+06 0.9275E+06
    0.5200 0.1092E+07 0.1119E+07 0.1092E+07 0.9265E+06 0.9491E+06 0.9264E+06
    0.5300 0.1093E+07 0.1120E+07 0.1092E+07 0.9253E+06 0.9490E+06 0.9252E+06
