      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3   ANCHTEN1   ANCHTEN2   ANCHTEN3
       (s)        (N)        (N)        (N)        (N)        (N)        (N)
    0.0000 0.1129E+07 0.1129E+07 0.1129E+07 0.9191E+06 0.9191E+06 0.9191E+06
    0.0100 0.1130E+07 0.1131E+07 0.1130E+07 0.9176E+06 0.9176E+06 0.9176E+06
    0.0200 0.1132E+07 0.1132E+07 0.1132E+07 0.9162E+06 0.9162E+06 0.9162E+06
    0.0300 0.1133E+07 0.1134E+07 0.1133E+07 0.9149E+06 0.9149E+06 0.9149E+06
    0.0400 0.1134E+07 0.1135E+07 0.1134E+07 0.9136E+06 0.9136E+06 0.9136E+06
    0.0500 0.1135E+07 0.1136E+07 0.1135E+07 0.9124E+06 0.9124E+06 0.9124E+06
    0.0600 0.1136E+07 0.1137E+07 0.1136E+07 0.9113E+06 0.9113E+06 0.9113E+06
    0.0700 0.1137E+07 0.1138E+07 0.1137E+07 0.9104E+06 0.9104E+06 0.9104E+06
    0.0800 0.1137E+07 0.1139E+07 0.1137E+07 0.9095E+06 0.9095E+06 0.9095E+06
    0.0900 0.1138E+07 0.1140E+07 0.1138E+07 0.9087E+06 0.9087E+06 0.9087E+06
    0.1000 0.1138E+07 0.1141E+07 0.1138E+07 0.9080E+06 0.9080E+06 0.9080E+06
    0.1100 0.1138E+07 0.1141E+07 0.1138E+07 0.9075E+06 0.9075E+06 0.9075E+06
    0.1200 0.1138E+07 0.1142E+07 0.1138E+07 0.9071E+06 0.9071E+06 0.9071E+06
    0.1300 0.1138E+07 0.1142E+07 0.1138E+07 0.9069E+06 0.9069E+06 0.9069E+06
    0.1400 0.1138E+07 0.1142E+07 0.1138E+07 0.9068E+06 0.9068E+06 0.9068E+06
    0.1500 0.1138E+07 0.1142E+07 0.1138E+07 0.9068E+06 0.9068E+06 0.9068E+06
    0.1600 0.1138E+07 0.1142E+07 0.1138E+07 0.9070E+06 0.9070E+06 0.9070E+06
    0.1700 0.1137E+07 0.1141E+07 0.1137E+07 0.9074E+06 0.9074E+06 0.9074E+06
    0.1800 0.1136E+07 0.1141E+07 0.1136E+07 0.9078E+06 0.9078E+06 0.9078E+06
    0.1900 0.1136E+07 0.1140E+07 0.1136E+07 0.9084E+06 0.9084E+06 0.9084E+06
    0.2000 0.1135E+07 0.1140E+07 0.1135E+07 0.9092E+06 0.9092E+06 0.9092E+06
    0.2100 0.1134E+07 0.1139E+07 0.1134E+07 0.9100E+06 0.9100E+06 0.9100E+06
    0.2200 0.1133E+07 0.1138E+07 0.1132E+07 0.9110E+06 0.9110E+06 0.9110E+06
    0.2300 0.1131E+07 0.1137E+07 0.1131E+07 0.9121E+06 0.9121E+06 0.9121E+06
    0.2400 0.1130E+07 0.1136E+07 0.1130E+07 0.9133E+06 0.9133E+06 0.9133E+06
    0.2500 0.1129E+07 0.1135E+07 0.1128E+07 0.9146E+06 0.9146E+06 0.9146E+06
    0.2600 0.1127E+07 0.1133E+07 0.1127E+07 0.9159E+06 0.9159E+06 0.9159E+06
    0.2700 0.1126E+07 0.1132E+07 0.1125E+07 0.9173E+06 0.9173E+06 0.9173E+06
    0.2800 0.1124E+07 0.1130E+07 0.1124E+07 0.9188E+06 0.9188E+06 0.9188E+06
    0.2900 0.1122E+07 0.1129E+07 0.1122E+07 0.9203E+06 0.9203E+06 0.9203E+06
    0.3000 0.1121E+07 0.1127E+07 0.1121E+07 0.9218E+06 0.9218E+06 0.9218E+06
    0.3100 0.1119E+07 0.1126E+07 0.1119E+07 0.9233E+06 0.9233E+06 0.9233E+06
    0.3200 0.1117E+07 0.1124E+07 0.1117E+07 0.9247E+06 0.9249E+06 0.9247E+06
    0.3300 0.1116E+07 0.1123E+07 0.1115E+07 0.9262E+06 0.9264E+06 0.9262E+06
    0.3400 0.1114E+07 0.1121E+07 0.1114E+07 0.9275E+06 0.9279E+06 0.9275E+06
    0.3500 0.1112E+07 0.1120E+07 0.1112E+07 0.9288E+06 0.9294E+06 0.9288E+06
    0.3600 0.1111E+07 0.1118E+07 0.1111E+07 0.9299E+06 0.9308E+06 0.9299E+06
    0.3700 0.1109E+07 0.1117E+07 0.1109E+07 0.9310E+06 0.9322E+06 0.9309E+06
    0.3800 0.1108E+07 0.1115E+07 0.1108E+07 0.9318E+06 0.9336E+06 0.9318E+06
    0.3900 0.1106E+07 0.1114E+07 0.1106E+07 0.9326E+06 0.9349E+06 0.9325E+06
    0.4000 0.1105E+07 0.1113E+07 0.1105E+07 0.9332E+06 0.9361E+06 0.9331E+06
    0.4100 0.1104E+07 0.1112E+07 0.1104E+07 0.9337E+06 0.9371E+06 0.9336E+06
    0.4200 0.1103E+07 0.1111E+07 0.1103E+07 0.9340E+06 0.9381E+06 0.9340E+06
    0.4300 0.1102E+07 0.1110E+07 0.1102E+07 0.9343E+06 0.9389E+06 0.9343E+06
    0.4400 0.1101E+07 0.1109E+07 0.1101E+07 0.9345E+06 0.9396E+06 0.9344E+06
    0.4500 0.1100E+07 0.1108E+07 0.1100E+07 0.9346E+06 0.9401E+06 0.9345E+06
    0.4600 0.1100E+07 0.1108E+07 0.1100E+07 0.9345E+06 0.9405E+06 0.9344E+06
    0.4700 0.1099E+07 0.1108E+07 0.1099E+07 0.9343E+06 0.9407E+06 0.9342E+06
    0.4800 0.1099E+07 0.1107E+07 0.1099E+07 0.9340E+06 0.9409E+06 0.9339E+06
    0.4900 0.1099E+07 0.1107E+07 0.1099E+07 0.9335E+06 0.9408E+06 0.9334E+06
    0.5000 0.1099E+07 0.1107E+07 0.1099E+07 0.9329E+06 0.9407E+06 0.9328E+06
    0.5100 0.1099E+07 0.1107E+07 0.1099E+07 0.9322E+06 0.9404E+06 0.9321E+06
    0.5200 0.1099E+07 0.1108E+07 0.1099E+07 0.9314E+06 0.9400E+06 0.9313E+06
    0.5300 0.1100E+07 0.1108E+07 0.1100E+07 0.9305E+06 0.9394E+06 0.9303E+06
